,隊伍,日期,總分,第一節分數,第二節分數,第三節分數,第四節分數
0,騎士,2021/1/1,99,21,30,17,31
1,步行者,2021/1/1,119,32,25,31,31
2,公牛,2021/1/1,133,35,36,36,26
3,奇才,2021/1/1,130,41,27,32,30
4,76人,2021/1/1,116,38,37,23,18
5,魔術,2021/1/1,92,22,18,29,23
6,國王,2021/1/1,119,33,26,27,33
7,火箭,2021/1/1,122,32,31,24,35
8,尼克斯,2021/1/1,83,18,24,22,19
9,猛龍,2021/1/1,100,22,20,29,29
10,鵜鶘,2021/1/1,113,32,26,27,28
11,雷霆,2021/1/1,80,28,19,26,7
12,太陽,2021/1/1,106,21,32,30,23
13,爵士,2021/1/1,95,22,18,30,25
14,凱爾特人,2021/1/2,93,12,28,33,20
15,活塞,2021/1/2,96,27,28,24,17
16,灰熊,2021/1/2,108,23,30,30,25
17,?蜂,2021/1/2,93,19,28,20,26
18,熱火,2021/1/2,83,16,15,22,30
19,獨行俠,2021/1/2,93,20,26,27,20
20,老鷹,2021/1/2,114,29,32,28,25
21,籃網,2021/1/2,96,23,29,21,23
22,湖人,2021/1/2,109,25,33,23,28
23,馬刺,2021/1/2,103,31,26,28,18
24,公牛,2021/1/2,96,21,19,35,21
25,雄鹿,2021/1/2,126,27,35,34,30
26,奇才,2021/1/2,130,37,23,40,30
27,森林狼,2021/1/2,109,25,32,14,38
28,太陽,2021/1/2,106,34,26,27,19
29,掘金,2021/1/2,103,32,17,29,25
30,快船,2021/1/2,100,19,23,23,35
31,爵士,2021/1/2,106,31,20,33,22
32,開拓者,2021/1/2,123,36,31,31,25
33,勇士,2021/1/2,98,21,34,25,18
34,國王,2021/1/3,94,36,28,17,13
35,火箭,2021/1/3,102,36,28,19,19
36,雷霆,2021/1/3,108,28,24,32,24
37,魔術,2021/1/3,99,33,18,31,17
38,尼克斯,2021/1/3,106,26,24,32,24
39,步行者,2021/1/3,102,28,23,31,20
40,?蜂,2021/1/3,112,24,34,32,22
41,76人,2021/1/3,127,39,34,31,23
42,猛龍,2021/1/3,116,26,34,22,34
43,鵜鶘,2021/1/3,120,32,23,32,33
44,騎士,2021/1/3,96,25,19,26,26
45,老鷹,2021/1/3,91,35,21,18,17
46,凱爾特人,2021/1/4,122,31,30,30,31
47,活塞,2021/1/4,120,33,24,31,32
48,湖人,2021/1/4,108,25,31,21,31
49,灰熊,2021/1/4,94,36,18,21,19
50,奇才,2021/1/4,123,29,41,24,29
51,籃網,2021/1/4,122,28,43,22,29
52,掘金,2021/1/4,124,29,26,28,41
53,森林狼,2021/1/4,109,28,20,36,25
54,爵士,2021/1/4,130,33,32,33,32
55,馬刺,2021/1/4,109,23,28,25,33
56,快船,2021/1/4,112,37,27,24,24
57,太陽,2021/1/4,107,24,20,37,26
58,獨行俠,2021/1/4,108,31,29,21,27
59,公牛,2021/1/4,118,31,28,27,32
60,開拓者,2021/1/4,122,33,21,29,39
61,勇士,2021/1/4,137,36,30,31,40
62,?蜂,2021/1/5,101,20,23,23,35
63,76人,2021/1/5,118,23,35,24,36
64,騎士,2021/1/5,83,19,30,18,16
65,魔術,2021/1/5,103,26,25,38,14
66,尼克斯,2021/1/5,113,31,23,30,29
67,老鷹,2021/1/5,108,29,29,30,20
68,凱爾特人,2021/1/5,126,23,38,39,26
69,猛龍,2021/1/5,114,32,14,35,33
70,雷霆,2021/1/5,90,26,23,17,24
71,熱火,2021/1/5,118,26,37,28,27
72,步行者,2021/1/5,118,26,27,26,27
73,鵜鶘,2021/1/5,116,24,27,26,29
74,活塞,2021/1/5,115,26,30,24,35
75,雄鹿,2021/1/5,125,33,34,30,28
76,獨行俠,2021/1/5,113,33,28,23,29
77,火箭,2021/1/5,100,21,28,28,23
78,國王,2021/1/5,106,20,28,27,31
79,勇士,2021/1/5,137,37,31,32,37
80,爵士,2021/1/6,96,14,30,29,23
81,籃網,2021/1/6,130,35,28,35,32
82,湖人,2021/1/6,94,19,26,22,27
83,灰熊,2021/1/6,92,24,25,19,24
84,森林狼,2021/1/6,116,22,43,31,20
85,掘金,2021/1/6,123,34,28,31,30
86,馬刺,2021/1/6,116,36,27,22,31
87,快船,2021/1/6,113,27,17,40,29
88,公牛,2021/1/6,111,21,24,36,30
89,開拓者,2021/1/6,108,39,15,31,23
90,火箭,2021/1/7,107,30,26,31,20
91,步行者,2021/1/7,114,35,27,28,24
92,騎士,2021/1/7,94,23,22,19,30
93,魔術,2021/1/7,105,15,36,32,22
94,奇才,2021/1/7,136,24,43,39,30
95,76人,2021/1/7,141,33,49,34,25
96,?蜂,2021/1/7,102,27,32,22,21
97,老鷹,2021/1/7,94,11,29,27,27
98,爵士,2021/1/7,100,27,29,19,25
99,尼克斯,2021/1/7,112,20,24,34,34
100,凱爾特人,2021/1/7,107,34,19,27,27
101,熱火,2021/1/7,105,26,19,35,25
102,活塞,2021/1/7,115,33,23,26,33
103,雄鹿,2021/1/7,130,44,38,26,22
104,雷霆,2021/1/7,111,26,28,34,23
105,鵜鶘,2021/1/7,110,34,25,19,32
106,猛龍,2021/1/7,115,25,29,33,28
107,太陽,2021/1/7,123,22,36,38,27
108,公牛,2021/1/7,124,25,34,34,31
109,國王,2021/1/7,128,28,34,31,35
110,快船,2021/1/7,108,21,31,31,25
111,勇士,2021/1/7,101,15,36,26,24
112,76人,2021/1/8,109,26,25,33,25
113,籃網,2021/1/8,122,28,37,29,28
114,騎士,2021/1/8,94,19,27,21,27
115,灰熊,2021/1/8,90,24,21,24,21
116,獨行俠,2021/1/8,124,22,21,33,33
117,掘金,2021/1/8,117,28,24,26,31
118,森林狼,2021/1/8,117,29,27,24,37
119,開拓者,2021/1/8,135,28,47,36,24
120,馬刺,2021/1/8,118,34,31,26,27
121,湖人,2021/1/8,109,26,30,33,20
122,太陽,2021/1/9,105,29,27,20,17
123,活塞,2021/1/9,110,20,28,24,21
124,雷霆,2021/1/9,101,15,27,27,32
125,尼克斯,2021/1/9,89,24,18,21,26
126,?蜂,2021/1/9,118,22,25,35,36
127,鵜鶘,2021/1/9,110,38,21,28,23
128,奇才,2021/1/9,107,28,19,34,26
129,凱爾特人,2021/1/9,116,33,33,30,20
130,爵士,2021/1/9,131,34,31,39,27
131,雄鹿,2021/1/9,118,31,27,38,22
132,魔術,2021/1/9,90,17,16,24,33
133,火箭,2021/1/9,132,32,30,31,39
134,籃網,2021/1/9,110,28,19,39,24
135,灰熊,2021/1/9,115,40,22,30,23
136,公牛,2021/1/9,115,33,25,30,27
137,湖人,2021/1/9,117,28,31,33,25
138,猛龍,2021/1/9,144,35,36,40,33
139,國王,2021/1/9,123,43,31,29,20
140,快船,2021/1/9,105,30,35,22,18
141,勇士,2021/1/9,115,22,29,30,34
142,掘金,2021/1/10,115,28,30,35,22
143,76人,2021/1/10,103,26,25,21,31
144,熱火,2021/1/10,128,47,28,28,25
145,奇才,2021/1/10,124,44,27,15,38
146,太陽,2021/1/10,125,30,26,34,35
147,步行者,2021/1/10,117,32,21,34,30
148,老鷹,2021/1/10,105,29,21,26,29
149,?蜂,2021/1/10,113,28,31,28,26
150,馬刺,2021/1/10,125,28,32,23,30
151,森林狼,2021/1/10,122,34,24,27,28
152,騎士,2021/1/10,90,14,23,26,27
153,雄鹿,2021/1/10,100,27,20,31,22
154,魔術,2021/1/10,98,27,23,25,23
155,獨行俠,2021/1/10,112,36,20,29,27
156,開拓者,2021/1/10,125,38,28,27,32
157,國王,2021/1/10,99,24,25,20,30
158,爵士,2021/1/11,96,34,23,17,22
159,活塞,2021/1/11,86,19,21,28,18
160,公牛,2021/1/11,127,31,28,35,33
161,快船,2021/1/11,130,22,30,42,36
162,雷霆,2021/1/11,129,29,28,37,35
163,籃網,2021/1/11,116,41,22,18,35
164,掘金,2021/1/11,114,28,31,23,32
165,尼克斯,2021/1/11,89,21,17,26,25
166,熱火,2021/1/15,108,30,28,20,30
167,76人,2021/1/15,125,38,35,25,27
168,?蜂,2021/1/15,108,34,28,24,22
169,猛龍,2021/1/15,111,35,36,28,12
170,火箭,2021/1/15,109,30,18,27,34
171,馬刺,2021/1/15,105,27,18,34,26
172,步行者,2021/1/15,111,26,33,25,27
173,開拓者,2021/1/15,87,26,10,35,16
174,勇士,2021/1/15,104,24,30,22,28
175,掘金,2021/1/15,114,37,28,25,24
176,湖人,2021/1/22,113,29,34,23,27
177,雄鹿,2021/1/22,106,33,24,24,25
178,鵜鶘,2021/1/22,118,43,26,23,26
179,爵士,2021/1/22,129,31,39,30,29
180,尼克斯,2021/1/22,119,40,23,26,30
181,勇士,2021/1/22,104,31,26,19,28
182,公牛,2021/1/23,123,30,31,34,28
183,?蜂,2021/1/23,110,29,24,30,27
184,火箭,2021/1/23,103,34,21,22,26
185,活塞,2021/1/23,102,21,26,34,21
186,魔術,2021/1/23,118,28,32,27,21
187,步行者,2021/1/23,120,37,25,26,20
188,凱爾特人,2021/1/23,110,33,19,28,30
189,76人,2021/1/23,122,25,24,42,31
190,熱火,2021/1/23,81,20,22,22,17
191,猛龍,2021/1/23,101,37,19,17,28
192,籃網,2021/1/23,113,33,27,24,29
193,騎士,2021/1/23,125,34,27,37,27
194,老鷹,2021/1/23,116,25,37,30,24
195,森林狼,2021/1/23,98,19,24,24,31
196,開拓者,2021/1/29,101,32,18,27,24
197,火箭,2021/1/29,104,17,36,33,18
198,湖人,2021/1/29,92,31,27,20,14
199,活塞,2021/1/29,107,34,22,26,25
200,快船,2021/1/29,109,19,29,40,21
201,熱火,2021/1/29,105,33,17,19,36
202,勇士,2021/1/29,93,29,18,24,22
203,太陽,2021/1/29,114,36,16,33,29
204,步行者,2021/1/30,105,28,32,20,25
205,?蜂,2021/1/30,108,32,32,25,19
206,老鷹,2021/1/30,116,31,30,28,27
207,奇才,2021/1/30,100,22,28,21,29
208,雄鹿,2021/1/30,126,21,24,44,37
209,鵜鶘,2021/1/30,131,35,33,35,28
210,騎士,2021/1/30,81,17,16,22,26
211,尼克斯,2021/1/30,102,19,28,25,30
212,國王,2021/1/30,126,36,32,36,22
213,猛龍,2021/1/30,124,24,34,33,33
214,76人,2021/1/30,118,25,28,35,30
215,森林狼,2021/1/30,94,25,23,26,20
216,籃網,2021/1/30,147,36,40,39,32
217,雷霆,2021/1/30,125,27,32,35,31
218,快船,2021/1/30,116,26,36,28,26
219,魔術,2021/1/30,90,26,22,23,19
220,掘金,2021/1/30,109,30,25,31,23
221,馬刺,2021/1/30,119,37,24,26,32
222,獨行俠,2021/1/30,101,12,33,23,33
223,爵士,2021/1/30,120,37,24,33,26
224,開拓者,2021/1/31,123,32,32,29,30
225,公牛,2021/1/31,122,34,19,33,36
226,雄鹿,2021/1/31,114,31,33,30,20
227,?蜂,2021/1/31,126,39,29,29,29
228,火箭,2021/1/31,126,27,48,24,27
229,鵜鶘,2021/1/31,112,35,22,27,28
230,國王,2021/1/31,104,35,24,18,27
231,熱火,2021/1/31,105,24,33,27,21
232,湖人,2021/1/31,96,28,24,19,25
233,凱爾特人,2021/1/31,95,24,25,29,17
234,灰熊,2021/1/31,129,35,29,36,29
235,馬刺,2021/1/31,112,27,29,34,22
236,太陽,2021/1/31,111,29,26,22,34
237,獨行俠,2021/1/31,105,28,27,27,23
238,活塞,2021/1/31,91,17,28,23,23
239,勇士,2021/1/31,118,29,35,30,24
240,快船,2021/2/1,129,29,37,35,28
241,尼克斯,2021/2/1,115,31,34,26,24
242,爵士,2021/2/1,117,29,25,37,26
243,掘金,2021/2/1,128,43,36,24,25
244,76人,2021/2/1,119,18,36,28,37
245,步行者,2021/2/1,110,28,35,32,15
246,魔術,2021/2/1,102,15,29,29,29
247,猛龍,2021/2/1,115,27,31,26,31
248,籃網,2021/2/1,146,38,33,37,38
249,奇才,2021/2/1,149,28,37,36,48
250,騎士,2021/2/1,104,35,26,25,18
251,森林狼,2021/2/1,109,30,25,33,21
252,?蜂,2021/2/2,129,28,26,34,25
253,熱火,2021/2/2,121,29,28,25,31
254,湖人,2021/2/2,107,28,22,25,32
255,老鷹,2021/2/2,99,25,21,30,23
256,森林狼,2021/2/2,98,29,15,23,31
257,騎士,2021/2/2,100,29,23,24,24
258,國王,2021/2/2,118,30,30,27,31
259,鵜鶘,2021/2/2,109,33,29,32,15
260,火箭,2021/2/2,136,48,25,29,34
261,雷霆,2021/2/2,106,24,30,22,30
262,尼克斯,2021/2/2,102,27,28,26,21
263,公牛,2021/2/2,110,32,27,25,26
264,開拓者,2021/2/2,106,36,20,21,29
265,雄鹿,2021/2/2,134,46,33,34,21
266,太陽,2021/2/2,109,22,25,30,32
267,獨行俠,2021/2/2,108,22,31,29,26
268,灰熊,2021/2/2,133,33,36,27,37
269,馬刺,2021/2/2,102,31,22,30,19
270,爵士,2021/2/5,112,20,25,35,32
271,老鷹,2021/2/5,91,16,21,26,28
272,勇士,2021/2/5,147,36,38,36,37
273,獨行俠,2021/2/5,116,34,42,20,20
274,開拓者,2021/2/5,121,28,29,40,24
275,76人,2021/2/5,105,28,29,19,29
276,火箭,2021/2/5,115,27,33,27,28
277,灰熊,2021/2/5,103,27,20,23,33
278,掘金,2021/2/5,93,30,28,17,18
279,湖人,2021/2/5,114,27,19,37,31
280,公牛,2021/2/6,119,31,25,25,38
281,魔術,2021/2/6,123,33,33,26,31
282,鵜鶘,2021/2/6,114,27,30,29,28
283,步行者,2021/2/6,113,30,18,27,38
284,雄鹿,2021/2/6,123,26,34,34,29
285,騎士,2021/2/6,105,33,30,26,16
286,猛龍,2021/2/6,123,34,33,25,31
287,籃網,2021/2/6,117,23,40,27,27
288,爵士,2021/2/6,138,30,39,37,32
289,?蜂,2021/2/6,121,32,22,36,31
290,森林狼,2021/2/6,106,25,26,34,21
291,雷霆,2021/2/6,103,23,32,21,27
292,奇才,2021/2/6,95,27,16,27,25
293,熱火,2021/2/6,122,40,31,35,16
294,活塞,2021/2/6,92,24,20,24,24
295,太陽,2021/2/6,109,27,30,30,22
296,凱爾特人,2021/2/6,119,21,30,38,30
297,快船,2021/2/6,115,33,29,20,33
298,開拓者,2021/2/7,99,31,20,25,23
299,尼克斯,2021/2/7,110,26,31,27,26
300,掘金,2021/2/7,114,25,27,29,33
301,國王,2021/2/7,119,26,27,34,32
302,公牛,2021/2/7,118,31,30,34,23
303,魔術,2021/2/7,92,31,12,21,28
304,籃網,2021/2/7,108,29,27,30,22
305,76人,2021/2/7,124,34,25,43,22
306,猛龍,2021/2/7,121,34,29,31,27
307,老鷹,2021/2/7,132,28,38,35,31
308,森林狼,2021/2/7,118,24,38,32,24
309,雷霆,2021/2/7,120,43,40,13,24
310,馬刺,2021/2/7,111,29,22,33,27
311,火箭,2021/2/7,106,23,24,30,29
312,雄鹿,2021/2/7,124,25,34,35,30
313,騎士,2021/2/7,99,22,32,23,22
314,勇士,2021/2/7,132,31,33,37,31
315,獨行俠,2021/2/7,134,35,37,34,28
316,灰熊,2021/2/7,109,33,28,30,18
317,鵜鶘,2021/2/7,118,31,29,30,28
318,活塞,2021/2/7,129,29,25,24,28
319,湖人,2021/2/7,135,27,36,25,18
320,爵士,2021/2/8,103,25,22,28,28
321,步行者,2021/2/8,95,20,27,21,27
322,熱火,2021/2/12,101,19,28,28,26
323,火箭,2021/2/12,94,29,24,10,31
324,猛龍,2021/2/12,106,29,27,24,26
325,凱爾特人,2021/2/12,120,34,32,22,32
326,步行者,2021/2/12,111,28,24,30,29
327,活塞,2021/2/12,95,19,33,18,25
328,魔術,2021/2/12,105,19,36,25,25
329,勇士,2021/2/12,111,29,18,37,27
330,76人,2021/2/12,114,36,27,30,21
331,開拓者,2021/2/12,118,37,23,29,29
332,森林狼,2021/2/13,114,30,29,26,29
333,?蜂,2021/2/13,120,25,35,30,30
334,尼克斯,2021/2/13,109,30,23,26,30
335,奇才,2021/2/13,91,23,19,22,27
336,馬刺,2021/2/13,125,36,41,33,15
337,老鷹,2021/2/13,114,29,19,24,42
338,鵜鶘,2021/2/13,130,34,31,36,29
339,獨行俠,2021/2/13,143,27,42,39,35
340,快船,2021/2/13,125,30,28,32,35
341,公牛,2021/2/13,106,25,29,24,28
342,活塞,2021/2/13,108,27,27,28,26
343,凱爾特人,2021/2/13,102,23,29,20,30
344,雄鹿,2021/2/13,115,31,21,30,33
345,爵士,2021/2/13,129,35,34,27,33
346,雷霆,2021/2/13,95,28,25,26,16
347,掘金,2021/2/13,97,16,24,30,27
348,騎士,2021/2/13,110,23,29,25,33
349,開拓者,2021/2/13,129,34,39,27,29
350,灰熊,2021/2/13,105,31,28,23,23
351,湖人,2021/2/13,115,16,30,41,28
352,魔術,2021/2/13,123,33,31,33,26
353,國王,2021/2/13,112,33,26,28,25
354,76人,2021/2/14,111,28,25,28,30
355,太陽,2021/2/14,120,23,30,33,34
356,步行者,2021/2/14,125,27,35,22,41
357,老鷹,2021/2/14,113,26,32,29,26
358,火箭,2021/2/14,99,25,22,28,24
359,尼克斯,2021/2/14,121,30,33,24,34
360,籃網,2021/2/14,134,37,29,42,26
361,勇士,2021/2/14,117,28,23,31,35
362,熱火,2021/2/14,94,21,21,15,37
363,爵士,2021/2/14,112,18,29,31,34
364,凱爾特人,2021/2/15,91,22,21,24,24
365,奇才,2021/2/15,104,29,26,34,15
366,鵜鶘,2021/2/15,112,40,22,27,23
367,活塞,2021/2/15,123,30,34,33,26
368,森林狼,2021/2/15,116,27,27,37,25
369,猛龍,2021/2/15,112,26,32,25,29
370,馬刺,2021/2/15,122,17,47,25,33
371,?蜂,2021/2/15,110,33,26,30,21
372,開拓者,2021/2/15,121,34,24,45,18
373,獨行俠,2021/2/15,118,25,36,30,27
374,雄鹿,2021/2/15,109,24,17,40,28
375,雷霆,2021/2/15,114,24,28,29,33
376,魔術,2021/2/15,90,16,19,25,30
377,太陽,2021/2/15,109,28,24,32,25
378,湖人,2021/2/15,105,33,28,24,20
379,掘金,2021/2/15,122,33,40,30,19
380,灰熊,2021/2/15,124,30,32,37,25
381,國王,2021/2/15,110,22,24,33,31
382,騎士,2021/2/15,111,24,34,30,23
383,快船,2021/2/15,128,32,38,36,22
384,火箭,2021/2/16,119,34,35,20,30
385,奇才,2021/2/16,131,38,34,28,31
386,公牛,2021/2/16,120,24,25,30,26
387,步行者,2021/2/16,112,21,23,26,35
388,老鷹,2021/2/16,112,28,35,27,22
389,尼克斯,2021/2/16,123,39,27,29,28
390,76人,2021/2/16,123,42,24,28,29
391,爵士,2021/2/16,134,35,37,34,28
392,騎士,2021/2/16,98,32,22,30,14
393,勇士,2021/2/16,129,32,32,37,28
394,熱火,2021/2/16,118,35,27,29,27
395,快船,2021/2/16,125,33,34,25,33
396,籃網,2021/2/16,136,36,38,33,29
397,國王,2021/2/16,125,37,31,20,37
398,猛龍,2021/2/19,110,33,25,27,25
399,雄鹿,2021/2/19,96,26,15,31,24
400,籃網,2021/2/19,109,31,33,26,19
401,湖人,2021/2/19,98,24,29,21,24
402,熱火,2021/2/19,118,31,26,32,29
403,國王,2021/2/19,110,21,22,36,31
404,掘金,2021/2/20,120,33,36,26,25
405,騎士,2021/2/20,103,23,27,30,23
406,獨行俠,2021/2/26,97,22,21,25,29
407,76人,2021/2/26,111,23,36,27,25
408,魔術,2021/2/26,92,28,19,25,20
409,籃網,2021/2/26,129,24,41,27,37
410,國王,2021/2/26,121,29,33,32,27
411,尼克斯,2021/2/26,140,38,39,24,39
412,快船,2021/2/26,94,27,26,22,19
413,灰熊,2021/2/26,122,24,37,28,33
414,奇才,2021/2/26,112,26,30,32,24
415,掘金,2021/2/26,110,22,32,34,22
416,鵜鶘,2021/2/26,125,31,37,35,22
417,雄鹿,2021/2/26,129,35,34,34,26
418,火箭,2021/2/27,111,31,28,21,31
419,猛龍,2021/2/27,122,30,37,28,27
420,步行者,2021/2/27,112,31,29,24,28
421,凱爾特人,2021/2/27,118,32,29,31,26
422,國王,2021/2/27,110,35,20,20,35
423,活塞,2021/2/27,107,25,27,28,27
424,爵士,2021/2/27,116,30,23,41,22
425,熱火,2021/2/27,124,26,31,39,28
426,老鷹,2021/2/27,109,33,22,25,29
427,雷霆,2021/2/27,118,31,32,33,22
428,太陽,2021/2/27,106,26,20,28,32
429,公牛,2021/2/27,97,26,32,23,16
430,快船,2021/2/27,119,32,31,27,29
431,灰熊,2021/2/27,99,30,17,25,27
432,?蜂,2021/2/27,121,28,23,33,37
433,勇士,2021/2/27,130,36,30,37,27
434,開拓者,2021/2/27,93,29,28,19,17
435,湖人,2021/2/27,102,24,30,31,17
436,騎士,2021/2/28,112,28,28,16,20
437,76人,2021/2/28,109,23,24,23,22
438,森林狼,2021/2/28,112,29,23,29,31
439,奇才,2021/2/28,128,27,27,44,30
440,鵜鶘,2021/2/28,114,32,29,22,31
441,馬刺,2021/2/28,117,33,34,26,24
442,步行者,2021/2/28,107,32,20,26,29
443,尼克斯,2021/2/28,110,23,31,27,29
444,爵士,2021/2/28,124,22,32,33,37
445,魔術,2021/2/28,109,21,29,26,33
446,掘金,2021/2/28,126,38,27,34,27
447,雷霆,2021/2/28,96,20,23,26,27
448,獨行俠,2021/2/28,115,38,30,26,21
449,籃網,2021/2/28,98,26,38,18,16
450,快船,2021/3/1,100,23,25,33,19
451,雄鹿,2021/3/1,105,27,26,24,28
452,快船,2021/3/5,117,22,39,26,30
453,奇才,2021/3/5,119,25,29,33,32
454,猛龍,2021/3/5,125,34,36,22,33
