cid,gender,R,F,M,k-means
2009S4908113,F,96,6,7678,2
2009S4908345,M,162,1,3992,0
2009S4908397,F,503,1,2840,3
2009S4908761,M,47,1,1380,2
2009S4908845,M,13,5,6336,2
2009S4909069,M,369,1,999,3
2009S4909353,F,466,1,999,3
2009S4909397,M,76,1,1380,2
2009S4909729,F,528,1,999,1
2009S4909801,M,623,1,780,1
2009S4910033,M,558,2,2880,1
2009S4910357,M,392,1,880,3
2009S4910405,M,19,1,1290,2
2009S4910673,F,24,2,2466,2
2009S4912305,F,462,3,3864,3
2009S4912857,F,6,5,6799,2
2009S4912897,M,184,2,9390,0
2009S4912913,M,397,2,7285,3
2009S4913113,M,476,3,2826,3
2009S4913321,F,454,1,1560,3
2009S4913757,F,40,8,4786,2
2009S4913773,F,551,1,680,1
2009S4913785,M,69,1,999,2
2009S4913945,M,23,6,9791,2
2009S4914501,M,286,1,998,0
2009S4914549,M,211,1,1290,0
2009S4914701,F,152,1,3700,2
2009S4914749,F,132,1,35,2
2009S4914945,M,31,2,300,2
2009S4915033,F,552,1,2600,1
2009S4915037,M,301,6,5708,0
2009S4915109,M,125,1,680,2
2009S4916069,F,113,3,203,2
2009S4916097,F,43,1,1170,2
2009S4916105,F,27,8,6930,2
2009S4916121,M,560,1,2560,1
2009S4916885,M,579,1,799,1
2009S4917033,M,173,1,1170,0
2009S4920065,F,159,3,1547,0
2009S4920077,M,8,4,4445,2
2009S4920121,M,171,4,2981,0
2009S4920381,M,429,1,150,3
2009S4920653,F,221,4,3677,0
2009S4921117,M,631,1,988,1
2009S4924077,M,454,1,520,3
2009S4924165,F,394,3,6680,3
2009S4924933,F,439,2,3487,3
2010S1204241,M,441,1,1040,3
2010S1204473,M,226,2,3458,0
2010S1204837,M,374,1,1680,3
2010S1208193,F,246,1,1380,0
2010S1208437,M,506,1,780,1
2010S1208497,M,667,1,1380,1
2010S1208629,F,154,5,4292,2
2010S1208745,M,349,1,699,3
2010S1208813,M,616,1,1099,1
2010S1212141,M,133,2,3629,2
2010S1212173,F,389,1,1680,3
2010S1212273,M,119,1,1778,2
2010S1212289,M,293,1,1904,0
2010S1212621,F,428,1,420,3
2010S1212713,M,455,2,6287,3
2010S1212829,M,190,2,4320,0
2010S1212849,F,651,1,1099,1
2010S1212881,F,558,3,2568,1
2010S1216169,F,654,1,520,1
2010S1216473,M,218,2,2291,0
2010S1220125,M,8,2,2570,2
2010S1221069,M,94,5,1797,2
2010S1221109,F,111,1,1380,2
2010S1221185,M,41,1,999,2
2010S1224113,M,60,11,18636,2
2010S1224713,F,543,1,756,1
2010S1224941,M,503,3,5766,3
2010S1224981,F,40,2,1309,2
2010S1225053,F,106,6,7432,2
2010S1225125,M,440,1,150,3
2010S1225653,M,575,1,1180,1
2010S1225873,M,523,1,1170,1
2010S1225893,F,139,5,16374,2
2010S1225913,F,334,1,1440,3
2010S1226129,M,368,3,6854,3
2010S1226161,F,538,1,1170,1
2010S1228209,F,376,1,1290,3
2010S1228333,M,574,1,680,1
2010S1228497,M,478,2,2396,3
2010S1228525,F,246,3,4140,0
2010S1228645,F,223,3,4020,0
2010S1228657,F,16,1,654,2
2010S1229057,M,226,2,1679,0
2010S1229193,F,353,4,11983,3
2010S1229221,M,636,1,330,1
2010S1229317,M,321,1,289,0
2010S1229513,F,418,1,249,3
2010S1229733,F,21,4,13858,2
2010S1229941,M,71,3,2299,2
2010S1232353,F,17,7,16224,2
2010S1232369,M,23,4,4499,2
2010S1232477,M,520,2,3062,1
2010S1232533,F,509,1,780,1
2010S1232545,M,292,2,2900,0
2010S1232873,F,476,2,5160,3
2010S1233109,F,474,1,1380,3
2010S1236121,F,211,4,6842,0
2010S1236301,F,12,1,2270,2
2010S1236409,F,298,1,999,0
2010S1236529,M,274,1,499,0
2010S1236701,M,54,2,1539,2
2010S1240261,F,366,3,3348,3
2010S1240493,F,193,2,2278,0
2010S1240585,M,589,1,1380,1
2010S1244077,M,446,2,8190,3
2010S1244205,M,555,1,580,1
2010S1244693,F,130,4,5670,2
2010S1248521,F,443,1,998,3
2010S1249069,M,146,6,30968,2
2010S1249137,F,246,1,1380,0
2010S1249205,M,496,1,580,3
2010S1252137,M,376,2,1148,3
2010S1252317,M,459,2,3200,3
2010S1252445,M,24,3,4538,2
2010S1253209,M,320,1,1299,0
2010S1253597,F,195,5,9910,0
2010S1253629,M,210,4,4570,0
2010S1253633,M,330,2,1908,0
2010S1253845,M,156,7,10970,2
2010S1256417,F,572,1,3040,1
2010S1256429,F,42,3,3510,2
2010S1256789,F,5,3,7740,2
2010S1256821,M,229,1,539,0
2010S1256961,M,81,1,1996,2
2010S1257289,F,138,1,830,2
2010S1257337,M,1,1,38,2
2010S1257601,M,192,1,325,0
2010S1257617,M,235,1,1380,0
2010S1257705,F,63,1,1380,2
2010S1257865,M,324,2,2266,0
2010S1260373,F,632,1,2964,1
2010S1260493,F,222,2,2278,0
2010S1260605,F,22,10,23973,2
